dmf,therapeutic_class,country,year
MF 018481,Gastrointestinal Agents,India,2005
MF 018481,Electrolytes/Minerals/Metals/Vitamins,India,2005
MF 020051,Gastrointestinal Agents,India,2006
MF 031382,Electrolytes/Minerals/Metals/Vitamins,India,2017
MF 031382,Metabolic Bone Disease Agents,India,2017
MF 022368,Respiratory Tract/Pulmonary Agents,India,2008
MF 036255,Respiratory Tract/Pulmonary Agents,India,2021
MF 019816,,India,2006
MF 016029,,Italy,2002
MF 036554,Respiratory Tract/Pulmonary Agents,India,2021
MF 017750,Antivirals,India,2004
MF 034310,Antivirals,India,2019
MF 029355,"Hormonal Agents, Suppressant (Pituitary)",China,2015
MF 025128,,India,2011
MF 027832,Contraceptives,India,2014
MF 027832,,India,2014
MF 031170,Contraceptives,India,2016
MF 032295,"Hormonal Agents, Suppressant (Pituitary)",India,2017
MF 035071,Contraceptives,China,2020
MF 028878,Blood Glucose Regulators,India,2015
MF 028766,Blood Glucose Regulators,China,2014
MF 024438,,China,2010
MF 032898,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2018
MF 035690,,India,2021
MF 027189,,India,2013
MF 035708,,Taiwan,2021
MF 034907,,Taiwan,2020
MF 025795,,India,2012
MF 036305,,India,2021
MF 026021,Contraceptives,India,2012
MF 032429,Antigout Agents,India,2018
MF 016409,Antineoplastics,India,2003
MF 036113,Antineoplastics,India,2021
MF 016472,Antineoplastics,Spain,2003
MF 015886,,France,2002
MF 019578,,India,2006
MF 020763,,India,2007
MF 017848,,Spain,2004
MF 022990,Antibacterials,India,2009
MF 034369,,Spain,2020
MF 019675,Genitourinary Agents,India,2006
MF 017624,Genitourinary Agents,Germany,2004
MF 031510,Blood Glucose Regulators,India,2017
MF 016993,Blood Glucose Regulators,India,2003
MF 016993,,India,2003
MF 018887,,India,2005
MF 018323,Blood Glucose Regulators,India,2005
MF 017744,Blood Glucose Regulators,India,2004
MF 025548,,Canada,2011
MF 028340,,Taiwan,2016
MF 030548,,Switzerland,2016
MF 017333,Anticonvulsants,China,2004
MF 023559,,United States,2010
MF 028355,Dermatological Agents,Denmark,2014
MF 021567,Antiparasitics,United States,2008
MF 020692,Antiparasitics,Hungary,2007
MF 032650,,China,2018
MF 035618,Antineoplastics,India,2021
MF 031196,Antineoplastics,India,2016
MF 034886,Antineoplastics,China,2020
MF 022795,,Taiwan,2009
MF 018576,Antivirals,India,2005
MF 023284,Anxiolytics,Israel,2009
MF 028599,,India,2014
MF 029748,Antidepressants,Taiwan,2015
MF 028944,Antineoplastics,India,2014
MF 015506,,India,2001
MF 027880,Antibacterials,China,2014
MF 027843,Central Nervous System Agents,India,2014
MF 033146,Central Nervous System Agents,India,2018
MF 026692,,Germany,2013
MF 026138,,India,2012
MF 036363,,India,2021
MF 030024,Sexual Disorder Agents,India,2015
MF 035372,Antiparasitics,India,2020
MF 021187,Respiratory Tract/Pulmonary Agents,India,2007
MF 024275,Respiratory Tract/Pulmonary Agents,Israel,2010
MF 025856,Skeletal Muscle Relaxants,United States,2012
MF 025856,Ophthalmic Agents,United States,2012
MF 025856,Cardiovascular Agents,United States,2012
MF 020213,Cardiovascular Agents,United States,2007
MF 020787,,United States,2007
MF 032038,Cardiovascular Agents,United States,2017
MF 025182,Antipsychotics,China,2011
MF 033692,Antipsychotics,India,2019
MF 035697,Antibacterials,India,2021
MF 035114,Antifungals,India,2020
MF 032138,Antifungals,India,2017
MF 023108,Antidementia Agents,India,2009
MF 034870,Antidementia Agents,China,2020
MF 019465,Antidementia Agents,Italy,2006
MF 026704,,India,2012
MF 035946,,India,2021
MF 033846,,India,2019
MF 026643,,Austria,2012
MF 028494,Antineoplastics,India,2014
MF 015804,Antimigraine Agents,Spain,2002
MF 017047,,India,2003
MF 027732,,United States,2014
MF 028598,Respiratory Tract/Pulmonary Agents,India,2014
MF 017004,Antineoplastics,China,2003
MF 033112,,India,2018
MF 027892,,India,2014
MF 028395,,India,2014
MF 028285,,India,2014
MF 035360,,India,2020
MF 021168,,China,2007
MF 035953,Respiratory Tract/Pulmonary Agents,India,2021
MF 035953,Antiemetics,India,2021
MF 035953,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2021
MF 022290,Inflammatory Bowel Disease Agents,China,2008
MF 026028,Cardiovascular Agents,India,2012
MF 034307,Ophthalmic Agents,India,2020
MF 019531,Gastrointestinal Agents,Sweden,2006
MF 025963,Respiratory Tract/Pulmonary Agents,India,2012
MF 022994,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2009
MF 018106,Inflammatory Bowel Disease Agents,France,2005
MF 026470,Gastrointestinal Agents,India,2012
MF 026470,Respiratory Tract/Pulmonary Agents,India,2012
MF 019710,Gastrointestinal Agents,India,2006
MF 029331,Gastrointestinal Agents,Switzerland,2017
MF 035446,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2021
MF 030061,Respiratory Tract/Pulmonary Agents,India,2015
MF 022676,,India,2009
MF 025623,,Spain,2011
MF 017712,Sleep Disorder Agents,India,2004
MF 018161,Antibacterials,Spain,2005
MF 034884,,China,2020
MF 021740,Analgesics,India,2008
MF 017367,Cardiovascular Agents,Spain,2004
MF 017384,Cardiovascular Agents,China,2004
MF 027146,,India,2013
MF 033635,,India,2019
MF 017838,,Spain,2004
MF 021654,Respiratory Tract/Pulmonary Agents,India,2008
MF 036182,Respiratory Tract/Pulmonary Agents,China,2021
MF 027429,,India,2013
MF 021657,Anticonvulsants,Mexico,2008
MF 018172,Anticonvulsants,India,2005
MF 015693,Anti-obesity Agents,India,2001
MF 017729,Anticonvulsants,India,2004
MF 036205,Respiratory Tract/Pulmonary Agents,India,2021
MF 024202,,Republic Of Korea,2011
MF 026657,Antigout Agents,India,2013
MF 026848,Antigout Agents,China,2013
MF 028149,Antigout Agents,India,2014
MF 016263,Gastrointestinal Agents,India,2002
MF 025103,,India,2011
MF 020021,,Taiwan,2006
MF 025576,,China,2011
MF 024175,,China,2010
MF 035892,Antibacterials,China,2021
MF 022030,Inflammatory Bowel Disease Agents,China,2008
MF 028616,Inflammatory Bowel Disease Agents,China,2014
MF 031587,Inflammatory Bowel Disease Agents,China,2017
MF 020775,,India,2007
MF 029047,Antimycobacterials,Italy,2015
MF 032717,Electrolytes/Minerals/Metals/Vitamins,Italy,2018
MF 027636,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 031889,,China,2017
MF 022324,,Taiwan,2008
MF 025078,Antimigraine Agents,India,2011
MF 021308,Antimigraine Agents,India,2008
MF 025297,Antimigraine Agents,India,2011
MF 032996,Antidepressants,India,2018
MF 032059,Anticonvulsants,India,2017
MF 028750,Respiratory Tract/Pulmonary Agents,India,2014
MF 028385,Respiratory Tract/Pulmonary Agents,Italy,2014
MF 028385,,Italy,2014
MF 031550,,India,2018
MF 031260,,India,2016
MF 030526,,India,2016
MF 027811,,Italy,2013
MF 017357,,France,2004
MF 025055,Cardiovascular Agents,India,2011
MF 034693,,India,2020
MF 025032,Gastrointestinal Agents,India,2011
MF 035344,Gastrointestinal Agents,India,2020
MF 023400,Gastrointestinal Agents,Taiwan,2009
MF 021546,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2008
MF 034083,,India,2019
MF 029091,Anti-addiction/Substance Abuse Treatment Agents,United States,2015
MF 017799,Anticonvulsants,India,2004
MF 035441,Anticonvulsants,India,2020
MF 035272,Anticonvulsants,India,2020
MF 033767,,India,2020
MF 027533,,India,2013
MF 034362,Ophthalmic Agents,India,2019
MF 022166,Ophthalmic Agents,India,2008
MF 022230,Ophthalmic Agents,India,2008
MF 020855,Dermatological Agents,India,2007
MF 035038,,India,2020
MF 022330,Central Nervous System Agents,India,2008
MF 033365,Anticonvulsants,India,2018
MF 022485,Central Nervous System Agents,India,2009
MF 024196,Anticonvulsants,Italy,2010
MF 020754,,India,2007
MF 021410,Anticonvulsants,India,2008
MF 024441,Blood Products and Modifiers,India,2010
MF 029020,Blood Products and Modifiers,India,2015
MF 029020,Analgesics,India,2015
MF 029020,Skeletal Muscle Relaxants,India,2015
MF 034995,Skeletal Muscle Relaxants,China,2020
MF 020416,Blood Products and Modifiers,India,2007
MF 028550,Metabolic Bone Disease Agents,China,2014
MF 020539,,India,2007
MF 028826,Antifungals,India,2018
MF 032973,Antifungals,India,2018
MF 030115,,India,2016
MF 035083,,India,2020
MF 029316,Respiratory Tract/Pulmonary Agents,India,2015
MF 029027,Sexual Disorder Agents,India,2015
MF 022707,Sexual Disorder Agents,India,2009
MF 022707,Respiratory Tract/Pulmonary Agents,India,2009
MF 022530,Genitourinary Agents,India,2009
MF 032157,Gastrointestinal Agents,Mexico,2017
MF 018816,Antimycobacterials,India,2005
MF 023871,Antipsychotics,India,2010
MF 030415,Antipsychotics,India,2016
MF 023962,Immunological Agents,India,2010
MF 023083,,Germany,2009
MF 020632,Analgesics,India,2007
MF 033424,Analgesics,India,2019
MF 018803,Analgesics,India,2005
MF 034691,Antimigraine Agents,India,2020
MF 015433,Ophthalmic Agents,India,2001
MF 014813,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Romania,2000
MF 035225,Antifungals,Italy,2020
MF 032282,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2018
MF 027995,Contraceptives,China,2014
MF 022952,,India,2009
MF 020593,,India,2007
MF 028190,Dermatological Agents,Germany,2014
MF 016112,Immunological Agents,India,2002
MF 016109,Immunological Agents,India,2002
MF 032988,Immunological Agents,Argentina,2018
MF 032273,Antineoplastics,India,2018
MF 019809,,Jordan,2006
MF 026441,,India,2012
MF 031283,Dermatological Agents,India,2017
MF 032315,Dermatological Agents,Israel,2017
MF 029386,,India,2015
MF 018068,Antipsychotics,India,2005
MF 035646,Antipsychotics,India,2021
MF 018120,Bipolar Agents,India,2005
MF 021630,Bipolar Agents,India,2008
MF 035974,Antipsychotics,Italy,2021
MF 015682,Antipsychotics,Spain,2001
MF 035185,Anxiolytics,India,2020
MF 022420,Ophthalmic Agents,United States,2009
MF 023014,Ophthalmic Agents,India,2009
MF 035303,Antivirals,India,2020
MF 015516,Cardiovascular Agents,Germany,2001
MF 036205,,India,2021
MF 016997,,Switzerland,2003
MF 022672,Cardiovascular Agents,India,2009
MF 032435,Antipsychotics,India,2018
MF 018947,,Spain,2005
MF 031184,Electrolytes/Minerals/Metals/Vitamins,United Kingdom,2016
MF 020976,Cardiovascular Agents,Poland,2007
MF 032074,,India,2017
MF 036033,,India,2021
MF 031515,,India,2017
MF 033080,,China,2019
MF 031831,Electrolytes/Minerals/Metals/Vitamins,China,2017
MF 024018,,India,2010
MF 030512,Gastrointestinal Agents,United States,2016
MF 030373,,France,2016
MF 030373,Anesthetics,France,2016
MF 031349,Dermatological Agents,India,2017
MF 036074,Antivirals,China,2021
MF 028066,Otic Agents,China,2014
MF 028066,Dermatological Agents,China,2014
MF 028066,Antibacterials,China,2014
MF 035222,Dermatological Agents,China,2020
MF 028500,Dermatological Agents,China,2014
MF 016089,Antivirals,Jordan,2002
MF 016089,,Jordan,2002
MF 032068,Antivirals,India,2017
MF 022431,Respiratory Tract/Pulmonary Agents,India,2009
MF 015511,Respiratory Tract/Pulmonary Agents,China,2001
MF 015839,,China,2002
MF 035215,Gastrointestinal Agents,India,2020
MF 035215,,India,2020
MF 026458,Dermatological Agents,China,2012
MF 026458,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2012
MF 033119,,India,2018
MF 028532,,United States,2014
MF 029374,Antibacterials,China,2015
MF 019497,,United States,2006
MF 024381,,India,2010
MF 015171,,Spain,2000
MF 029003,,Portugal,2015
MF 024110,,India,2010
MF 024976,,India,2011
MF 032301,,India,2018
MF 034651,,India,2020
MF 022475,Contraceptives,India,2009
MF 028432,,Spain,2014
MF 017787,Gastrointestinal Agents,Spain,2004
MF 035485,Antibacterials,India,2020
MF 020873,Antibacterials,India,2007
MF 025794,Gastrointestinal Agents,India,2012
MF 015596,Skeletal Muscle Relaxants,Taiwan,2001
MF 033659,Skeletal Muscle Relaxants,China,2019
MF 033667,,India,2019
MF 031762,Blood Glucose Regulators,India,2017
MF 032170,Blood Glucose Regulators,India,2017
MF 030284,,Switzerland,2016
MF 016118,Antispasticity Agents,Taiwan,2002
MF 032271,Contraceptives,Spain,2017
MF 030760,,United States,2016
MF 034750,,India,2020
MF 029685,Inflammatory Bowel Disease Agents,China,2015
MF 032243,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2017
MF 032243,Dermatological Agents,China,2017
MF 032243,Anesthetics,China,2017
MF 024611,Inflammatory Bowel Disease Agents,India,2011
MF 030789,Dermatological Agents,Jordan,2016
MF 032221,,India,2017
MF 022191,Electrolytes/Minerals/Metals/Vitamins,Denmark,2010
MF 033568,,India,2019
MF 033372,,India,2019
MF 033384,,India,2018
MF 031562,,United States,2017
MF 035150,,India,2020
MF 034794,,India,2020
MF 025507,,United States,2011
MF 024927,,United States,2012
MF 028928,,India,2015
MF 029582,Antidepressants,India,2015
MF 026825,,India,2013
MF 016327,Antibacterials,Germany,2002
MF 025360,Antibacterials,Mexico,2011
MF 020137,Dermatological Agents,India,2006
MF 020137,Antibacterials,India,2006
MF 027155,Antibacterials,United States,2015
MF 027155,Ophthalmic Agents,United States,2015
MF 024956,Ophthalmic Agents,Malaysia,2011
MF 033410,Gastrointestinal Agents,,2018
MF 032472,,India,2018
MF 032215,,United States,2018
MF 018253,Cardiovascular Agents,India,2005
MF 033770,Cardiovascular Agents,India,2019
MF 034545,,India,2020
MF 026481,Antiparkinson Agents,Spain,2012
MF 029198,,India,2015
MF 019773,,United States,2006
MF 017004,Metabolic Bone Disease Agents,China,2003
MF 032976,Metabolic Bone Disease Agents,China,2018
MF 032976,Contraceptives,China,2018
MF 030651,Cardiovascular Agents,United Kingdom,2016
MF 024913,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",France,2011
MF 022507,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2009
MF 022507,,India,2009
MF 023705,,India,2010
MF 025614,,India,2011
MF 031470,,India,2017
MF 033105,,United States,2018
MF 032739,,India,2018
MF 030952,,India,2016
MF 029700,,India,2015
MF 031072,,India,2016
MF 033887,Respiratory Tract/Pulmonary Agents,India,2019
MF 033058,,Italy,2019
MF 032542,,India,2018
MF 030993,Electrolytes/Minerals/Metals/Vitamins,India,2016
MF 030993,Genitourinary Agents,India,2016
MF 033769,Anticonvulsants,India,2019
MF 031953,Anticonvulsants,India,2017
MF 016518,Gastrointestinal Agents,India,2003
MF 018220,Antispasticity Agents,India,2005
MF 033302,Antispasticity Agents,India,2018
MF 030815,,Spain,2016
MF 024713,,China,2011
MF 033336,,United States,2019
MF 031036,Respiratory Tract/Pulmonary Agents,China,2017
MF 019155,Analgesics,India,2006
MF 026356,Analgesics,India,2012
MF 026356,Cardiovascular Agents,India,2012
MF 024557,Analgesics,India,2011
MF 025636,Analgesics,India,2011
MF 031101,Cardiovascular Agents,China,2016
MF 026886,Analgesics,Spain,2013
MF 019652,Cardiovascular Agents,Italy,2006
MF 018194,,United States,2005
MF 022401,Ophthalmic Agents,India,2008
MF 015024,Skeletal Muscle Relaxants,India,2000
MF 034759,Antimycobacterials,India,2020
MF 029633,Antibacterials,India,2015
MF 026796,Antibacterials,India,2013
MF 026796,Antimycobacterials,India,2013
MF 029402,Skeletal Muscle Relaxants,India,2015
MF 021498,Antibacterials,India,2008
MF 021498,Gastrointestinal Agents,India,2008
MF 021498,Skeletal Muscle Relaxants,India,2008
MF 021498,Blood Products and Modifiers,India,2008
MF 021310,Antimycobacterials,India,2008
MF 021310,Electrolytes/Minerals/Metals/Vitamins,India,2008
MF 022897,Blood Products and Modifiers,China,2009
MF 022897,Antimycobacterials,China,2009
MF 028310,Gastrointestinal Agents,Taiwan,2014
MF 024118,Antibacterials,China,2010
MF 024118,Analgesics,China,2010
MF 024923,Antibacterials,China,2011
MF 017033,Cardiovascular Agents,India,2003
MF 024650,Cardiovascular Agents,China,2011
MF 028161,,Israel,2013
MF 030600,,India,2016
MF 032322,,China,2017
MF 022552,Antiemetics,India,2009
MF 021506,Antidepressants,India,2008
MF 030352,Antipsychotics,India,2016
MF 021980,Antipsychotics,Canada,2008
MF 029444,Bipolar Agents,Canada,2015
MF 029444,Antidepressants,Canada,2015
MF 027219,Antidepressants,China,2013
MF 026694,Antipsychotics,Spain,2013
MF 026072,Antipsychotics,India,2012
MF 025175,Antidepressants,China,2011
MF 023597,Antipsychotics,China,2010
MF 019282,Bipolar Agents,India,2006
MF 019282,Antipsychotics,India,2006
MF 024333,Bipolar Agents,India,2010
MF 022301,Antipsychotics,India,2008
MF 020147,Gastrointestinal Agents,Israel,2006
MF 017692,,United States,2004
MF 029975,Dermatological Agents,India,2015
MF 021879,Respiratory Tract/Pulmonary Agents,India,2008
MF 020212,Respiratory Tract/Pulmonary Agents,China,2007
MF 016423,Dermatological Agents,Italy,2003
MF 016423,Respiratory Tract/Pulmonary Agents,Italy,2003
MF 016334,Ophthalmic Agents,Portugal,2002
MF 034126,Respiratory Tract/Pulmonary Agents,China,2019
MF 035359,Ophthalmic Agents,China,2021
MF 023427,Dermatological Agents,Italy,2010
MF 023427,Respiratory Tract/Pulmonary Agents,Italy,2010
MF 035393,Dermatological Agents,Canada,2020
MF 016628,Gastrointestinal Agents,Spain,2003
MF 023378,Cardiovascular Agents,India,2009
MF 026934,Cardiovascular Agents,India,2013
MF 015890,Ophthalmic Agents,Singapore,2002
MF 025718,,China,2012
MF 020849,Analgesics,India,2007
MF 027383,,Italy,2013
MF 033211,,India,2018
MF 036373,,China,2021
MF 036043,,India,2021
MF 024832,Antipsychotics,India,2011
MF 024481,Antipsychotics,Taiwan,2010
MF 019506,Ophthalmic Agents,China,2006
MF 028987,Gastrointestinal Agents,China,2014
MF 035736,Cardiovascular Agents,India,2021
MF 030272,,India,2016
MF 019177,Anesthetics,Sweden,2006
MF 033285,Anesthetics,Brazil,2018
MF 033285,Dermatological Agents,Brazil,2018
MF 034900,,China,2020
MF 032369,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2017
MF 028617,Respiratory Tract/Pulmonary Agents,India,2014
MF 033036,Anesthetics,China,2018
MF 035384,Dental and Oral Agents,India,2020
MF 035384,Respiratory Tract/Pulmonary Agents,India,2020
MF 021213,Anesthetics,India,2007
MF 035878,,China,2021
MF 024507,,China,2010
MF 019575,,Czech Republic,2006
MF 020623,Anti-addiction/Substance Abuse Treatment Agents,France,2007
MF 015102,Analgesics,Netherlands,2000
MF 021590,Analgesics,United Kingdom,2008
MF 032923,,India,2018
MF 036236,Respiratory Tract/Pulmonary Agents,India,2021
MF 018319,Skeletal Muscle Relaxants,Taiwan,2005
MF 032438,Analgesics,India,2018
MF 032438,Cardiovascular Agents,India,2018
MF 023083,Cardiovascular Agents,Germany,2009
MF 033237,Antibacterials,China,2018
MF 021048,Antiemetics,United Kingdom,2007
MF 021048,Metabolic Bone Disease Agents,United Kingdom,2007
MF 021048,Gastrointestinal Agents,United Kingdom,2007
MF 034148,Metabolic Bone Disease Agents,India,2019
MF 032009,,China,2017
MF 032532,,India,2018
MF 033437,,India,2019
MF 022901,Antidementia Agents,China,2009
MF 021019,Antidementia Agents,India,2007
MF 025227,,Israel,2011
MF 017661,Anticonvulsants,Japan,2004
MF 021958,Electrolytes/Minerals/Metals/Vitamins,India,2008
